Ward no,What is the name of your ward?,Did you vote in the last BBMP elections (2010)?,Mention the elections that you voted in.,Who is your corporator?,What are the problems you face in your area? Issue 1,What are the problems you face in your area? Issue 2,What are the problems you face in your area? Issue 3,What are the problems you face in your area? Issue 4,What are the problems you face in your area? Issue 5,What are the problems you face in your area? Issue 6,What are the problems you face in your area? Issue 7,What are the problems you face in your area? Issue 8,What are the problems you face in your area? Issue 9,The issues to which the councillor gave importance [Hospitals/Primary health care centre],The issues to which the councillor gave importance [Building and Zoning Regulations],The issues to which the councillor gave importance [Restoration of lakes],"The issues to which the councillor gave importance [Roads, footpath]",The issues to which the councillor gave importance [Street lights],"The issues to which the councillor gave importance [Public facilities/basic amenities - playground, parks, public toilets etc.]",The issues to which the councillor gave importance [Cleanliness and garbage clearance],"The issues to which the councillor gave importance [Encroachment of public land, lakes and roads]",The issues to which the councillor gave importance [Public schooling],The issues to which the councillor gave importance [Public health & sanitation],"How did she/he perform at the ward level, on each of the above issues? [Hospitals/Primary health care centre]","How did she/he perform at the ward level, on each of the above issues? [Building and Zoning Regulations]","How did she/he perform at the ward level, on each of the above issues? [Restoration of lakes]","How did she/he perform at the ward level, on each of the above issues? [Roads, footpath]","How did she/he perform at the ward level, on each of the above issues? [Street lights]","How did she/he perform at the ward level, on each of the above issues? [Public facilities/basic amenities - playground, parks, public toilets etc.]","How did she/he perform at the ward level, on each of the above issues? [Cleanliness and garbage clearance]","How did she/he perform at the ward level, on each of the above issues? [Encroachment of public land/lakes]","How did she/he perform at the ward level, on each of the above issues? [Encouraging public schooling]","How did she/he perform at the ward level, on each of the above issues? [Public health and sanitation]",Rate your corporator. [Interaction with public],Rate your corporator. [Accessible to public],Rate your corporator. [How trustworthy is your corporator?],Rate your corporator. [How corrupt is your corporator?],"Do you think your current corporator acted independently, free of pressure from family members or friends?","Would you vote for your current corporator, if she/he contests elections once again? *",What is important to you during an election?,What is important to you during an election? 2,What is important to you during an election? 3,What is important to you during an election? 4,What is important to you during an election? 5,What is important to you during an election? 6,"Who is the leader who can help solve Bangalore's problems, according to you?","Which party's candidate are you likely to vote for, in BBMP elections 2015?",Which political party represents Bangalore's interest best?,Age,Educational Qualification,Occupation,Monthly - family income levels,Gender,What are the languages you speak?,What are the languages you speak? 2,What are the languages you speak? 3,What are the languages you speak? 4,What are the languages you speak? 5,What are the languages you speak? 6,
83,Kadugodi,Yes,"BBMP elections 2010, Parliament elections 2014",K Anjeneya Reddy,Garbage black spots, Non-collection of garbage from your home, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Encroachment of public land, Digging by OFC, BWSSB,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,Not applicable,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Not applicable,1- Very Poor,Zero,Zero,Zero,Can't say,,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate, Political party of the candidate,,,Ashwin Mahesh,Party doesn't matter; candidate does,,41-50,Post graduate,Private Firm Employee,"Between Rs 50,000 and Rs 1,00,000",Male,Hindi, English,,,,,
149,Varthur,No - I was not on the voters list,Parliament elections 2014,,No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of parks and playgrounds,,,,,,3,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,4,5 - High Importance,5 - High Importance,3,4,3 - Average,2 - Poor,1- Very Poor,1- Very Poor,2 - Poor,1- Very Poor,1- Very Poor,3 - Average,3 - Average,2 - Poor,Zero,Zero,Can't say,Can't say,No,No,Candidate's individual capabilities, Manifesto or promises, Clean image of candidate,,,,RK Mishra,Party doesn't matter; candidate does,BJP,31-40,Graduate diploma/degree,IT/ITES,"Above Rs 2,00,000",Male,Tamil, Hindi, English,,,,
83,Kadugodi,No - I was not on the voters list,"Assembly elections 2013, Parliament elections 2014",Anjaneya Reddy,Garbage black spots, Bad roads with potholes, Unwalkable footpaths, Horrible state of roads. e.g. ECC Road, Prithvi Layout etc.,,,,,Not applicable,2,2,1 - Low Importance,5 - High Importance,2,2,3,3,3,Not applicable,2 - Poor,2 - Poor,1- Very Poor,5 - Very Good,2 - Poor,3 - Average,3 - Average,3 - Average,3 - Average,Medium,Medium,Low,High,No,No,Candidate's individual capabilities, Past work record of candidate,,,,,,Party doesn't matter; candidate does,JDS,31-40,Post graduate,IT/ITES,"Between Rs 50,000 and Rs 1,00,000",Male,Kannada, English,,,,,
165,Ganesh Mandira,No - I was not on the voters list,Parliament elections 2014,Govindaraj  L,Garbage black spots, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Lack of parks and playgrounds,,,,,Not applicable,1 - Low Importance,1 - Low Importance,2,Not applicable,2,1 - Low Importance,1 - Low Importance,3,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,4 - Good,3 - Average,3 - Average,1- Very Poor,1- Very Poor,1- Very Poor,Low,Low,Can't say,Can't say,No,No,Candidate's individual capabilities, Manifesto or promises, Clean image of candidate,,,,sudha murthy,Party doesn't matter; candidate does,none that I know of,60+,Post graduate,Retired,"Between Rs 10,000 and Rs 25,000",Male,Tamil, Hindi, English,,,,
51,Vignanapura,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Sugumar,Garbage black spots, Non-collection of garbage from your home, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds, Encroachment of public land,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,2,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,3 - Average,Zero,Low,Zero,Very high,No,No,Candidate's individual capabilities, Manifesto or promises, Clean image of candidate,,,,God know's,Congress candidate,Congress,21-25,Post graduate,Private Firm Employee,"Between Rs 50,000 and Rs 1,00,000",Male,Kannada, Tamil, Telugu, Malayalam, Hindi, English,
150,Bellandur,No - other reasons,"Assembly elections 2013, Parliament elections 2014",B.P. Babu Reddy,No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of parks and playgrounds, Encroachment of public land,,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,Not applicable,1 - Low Importance,Not applicable,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,3 - Average,1- Very Poor,Not applicable,3 - Average,Zero,Zero,Zero,Can't say,No,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate, Political party of the candidate, Candidate's personality/ charm,Ashwin Mahesh,AAP candidate,"BJP, Aam Aadmi Party",41-50,Doctorate,Private Firm Employee,"Between Rs 1,00,000 and Rs 2,00,000",Male,Tamil, Hindi, English,,,,
150,Bellandur,Yes,"BBMP elections 2010, Assembly elections 2013",Babu Reddy,No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Can't say,,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate,,,,,AAP candidate,None,31-40,Post graduate,IT/ITES,"Between Rs 1,00,000 and Rs 2,00,000",Male,Hindi, English,,,,,
120,Cottonpet,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",vasanthakumari ( by default her husband palani),Garbage black spots, Non-collection of garbage from your home, No street lights, Unwalkable footpaths, Lack of primary health centres, Encroachment of public land,,,,1 - Low Importance,1 - Low Importance,Not applicable,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,High,No,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate, Political party of the candidate, Corruption and scams of the party elsewhere in India,no dynamic leader is there for bengaluru from past 20 years,Party doesn't matter; candidate does,"Congress, BJP",31-40,Post graduate,Business/self employed,"Above Rs 2,00,000",Male,Kannada, Tamil, Telugu, Hindi, English,,
150,Bellandur,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",babu reddy,Bad roads with potholes, Unwalkable footpaths,,,,,,,,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,4,4,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,3 - Average,2 - Poor,4 - Good,1- Very Poor,2 - Poor,1- Very Poor,2 - Poor,Not applicable,Not applicable,3 - Average,Can't say,Can't say,Can't say,Can't say,No,No,Past work record of candidate,,,,,,,Party doesn't matter; candidate does,BJP,31-40,Post graduate,IT/ITES,"Between Rs 50,000 and Rs 1,00,000",Male,Kannada, Telugu, Hindi, English,,,
78,Pulakeshinagar,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",A.R.Zakir,Unwalkable footpaths, Lack of public toilets, Lack of parks and playgrounds,,,,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,3,1 - Low Importance,1 - Low Importance,1 - Low Importance,2,1 - Low Importance,1- Very Poor,2 - Poor,2 - Poor,1- Very Poor,3 - Average,1- Very Poor,1- Very Poor,2 - Poor,2 - Poor,1- Very Poor,Low,Low,Can't say,Can't say,No,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate,,,This question is very hpothectical and dangerous.,Party doesn't matter; candidate does,"Congress, JDS, BJP",51- 60,Post graduate,Business/self employed,"Between Rs 25,000 and Rs 50,000",Male,Kannada, Tamil, Hindi, English,,,
195,Konanakunte,No - other reasons,"Assembly elections 2013, I did not vote in any election",Shashirekha Jayaram,Unwalkable footpaths, Lack of public toilets, Lack of parks and playgrounds,,,,,,,3,2,2,3,3,2,3,2,3,3,3 - Average,3 - Average,3 - Average,3 - Average,3 - Average,3 - Average,3 - Average,2 - Poor,3 - Average,3 - Average,Zero,Zero,Can't say,Can't say,No,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate, Corruption and scams of the party elsewhere in India, Approachablity,,???,BJP candidate,,41-50,Graduate diploma/degree,Business/self employed,"Between Rs 10,000 and Rs 25,000",Male,Kannada, Tamil, Hindi, English,,,
154,Basavanagudi,Yes,BBMP elections 2010,B S Satyanarayana,Garbage black spots, Non-collection of garbage from your home, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds, Lack of government schooling, Encroachment of public land,2,2,1 - Low Importance,1 - Low Importance,3,2,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,3 - Average,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Medium,Medium,Zero,Very high,No,No,Past work record of candidate, Clean image of candidate, Candidate's personality/ charm,,,,None,Party doesn't matter; candidate does,None,25-30,Graduate diploma/degree,Business/self employed,"<10,000 Rs",Male,Kannada, Hindi, English,,,,
177,J.P Nagar,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Ramesh,Garbage black spots, Unwalkable footpaths,,,,,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,4,4,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,2,2 - Poor,2 - Poor,1- Very Poor,3 - Average,2 - Poor,3 - Average,2 - Poor,4 - Good,3 - Average,4 - Good,Zero,Zero,Low,Very high,,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate,,,,Narendra Modi,Party doesn't matter; candidate does,Loksatta,25-30,Post graduate,IT/ITES,"Between Rs 25,000 and Rs 50,000",Male,Kannada, Tamil, English,,,,
187,Puttenahalli,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Ramesh,Bad roads with potholes, Unwalkable footpaths, Lack of public toilets,,,,,,,Not applicable,1 - Low Importance,1 - Low Importance,2,3,4,3,Not applicable,Not applicable,Not applicable,Not applicable,2 - Poor,Not applicable,2 - Poor,3 - Average,3 - Average,3 - Average,Not applicable,Not applicable,Not applicable,Medium,High,Medium,High,Yes,No,Candidate's individual capabilities, Past work record of candidate,,,,,Rajiv Chandrashekar,BJP candidate,BJP,41-50,Graduate diploma/degree,IT/ITES,"Between Rs 50,000 and Rs 1,00,000",Male,Kannada,,,,,,
11,Kuvempunagar,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Mrs yashodamma Krishnappa,Garbage black spots, Non-collection of garbage from your home, Bad roads with potholes, Lack of public toilets, Lack of parks and playgrounds, Encroachment of public land, Lake rejuvenation ,,,2,Not applicable,1 - Low Importance,5 - High Importance,5 - High Importance,4,3,1 - Low Importance,2,3,3 - Average,3 - Average,1- Very Poor,5 - Very Good,5 - Very Good,3 - Average,3 - Average,1- Very Poor,4 - Good,5 - Very Good,High,Very high,High,Medium,No,Depends on whether  the other candidates  come across as more promising or not. Also She may not be able to contest in same ward this time due to reservations.,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate, Candidate's personality/ charm, Corruption and scams of the party elsewhere in India,"not a political person, but Mr Manivannan IAS should be made BBMP head. At least sincere efforts will be made to  tackle issues. Amongst politicians, Mr Krishnabyregowda, Mr Arvind Limbavalli, Mr Nandan Nilekani, Mr Rajeev Chandrashekar, etc hold promise.  ",Party doesn't matter; candidate does,None have shown the right inclination as yet!,41-50,Post graduate,Private Firm Employee,"Between Rs 10,000 and Rs 25,000",Male,Kannada, Tamil, Telugu, Hindi, English,,
26,Ramamurthy nagar,No - I was not on the voters list,Parliament elections 2014,M Revanna,Garbage black spots, No street lights, Bad roads with potholes, Lack of public toilets, Lack of parks and playgrounds, Encroachment of public land,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,2,2,3,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,2 - Poor,2 - Poor,2 - Poor,1- Very Poor,Low,Low,Zero,Can't say,No,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate,,,,Party doesn't matter; candidate does,,25-30,Graduate diploma/degree,IT/ITES,"Between Rs 50,000 and Rs 1,00,000",Female,Tamil, Hindi, English,,,,
103,Kaveripura,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Mr. R. Prakash,Garbage black spots, Bad roads with potholes,,,,,,,,Not applicable,1 - Low Importance,1 - Low Importance,3,3,5 - High Importance,5 - High Importance,4,3,3,3 - Average,3 - Average,3 - Average,3 - Average,3 - Average,3 - Average,2 - Poor,3 - Average,3 - Average,3 - Average,Medium,Medium,Medium,Medium,No,This time there is expected change in the contestant due to reserved categorization of this ward.,Candidate's individual capabilities, Clean image of candidate, Corruption and scams of the party elsewhere in India,,,,,Party doesn't matter; candidate does,BJP,60+,Graduate diploma/degree,Public sector Employee,"Between Rs 50,000 and Rs 1,00,000",Male,Kannada, English,,,,,
24,H.B.R Layout,Yes,"BBMP elections 2010, Assembly elections 2013",Govindaraju,Garbage black spots, Non-collection of garbage from your home, Bad roads with potholes,,,,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Very high,Yes,No,Clean image of candidate,,,,,,Ganesh Reddy,Congress candidate,None,31-40,Post graduate,Business/self employed,"Between Rs 25,000 and Rs 50,000",Male,Kannada, Hindi, English,,,,
142,Sunkenahalli,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",P N Sadashiva,Garbage black spots, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Lack of parks and playgrounds, Encroachment of public land, Encroachment of footpaths  by vendors , dhobis and construction debris on the footpaths,,Not applicable,1 - Low Importance,Not applicable,1 - Low Importance,4,1 - Low Importance,2,1 - Low Importance,Not applicable,1 - Low Importance,Not applicable,1- Very Poor,Not applicable,2 - Poor,4 - Good,1- Very Poor,3 - Average,1- Very Poor,Not applicable,2 - Poor,Zero,Low,Zero,Can't say,No,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate, Sincerity of purpose while discharging duties as a corporate or elected representative.,,,One who delivers after listening to public views.,Party doesn't matter; candidate does,None as of now though everyone promises moon before getting elected.,60+,Graduate diploma/degree,Retired,"Between Rs 25,000 and Rs 50,000",Male,Kannada, Tamil, Hindi, English, Konkani,,
142,Sunkenahalli,Yes,"Assembly elections 2013, Parliament elections 2014",Don't know,Garbage black spots, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Parking on roads, no parking violations, one way violations,,5 - High Importance,5 - High Importance,3,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,1- Very Poor,1- Very Poor,Not applicable,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Very high,No,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate,,,,Not sure,AAP candidate,None of the above,51- 60,Post graduate,Business/self employed,"Between Rs 10,000 and Rs 25,000",Male,Tamil, Hindi, English,,,,
25,Horamavu,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Tejaswini Raju,Garbage black spots, Non-collection of garbage from your home, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds, Encroachment of public land,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,2,1 - Low Importance,1 - Low Importance,1 - Low Importance,2,1 - Low Importance,2 - Poor,1- Very Poor,3 - Average,1- Very Poor,2 - Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Low,Can't say,No,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate, Corruption and scams of the party elsewhere in India,,,,Party doesn't matter; candidate does,,41-50,Graduate diploma/degree,Private Firm Employee,"Between Rs 1,00,000 and Rs 2,00,000",Male,Kannada, Tamil, Hindi, English,,,
